id,su,plot,site,longitude,latitude,geometry,species,inventory_date,soil_sampling_date,agb,bgb,total_biomass,cagb,cbgb,soil_carbon_stock,total_carbon_stock,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,VV,VH
SU2P1,2,P1,Fresco,-5.580154493594425,5.104702357567258,"POLYGON ((-5.580274678391799 5.1047690416985105, -5.580105321595179 5.104830958294393, -5.580034308811389 5.1046356734071825, -5.580203665582399 5.104573756852256, -5.580274678391799 5.1047690416985105))",Palétuvier rouge (Rhizophora mangle),2025-01-15,2025-01-27,66.461,36.171,102.632,33.231,14.108,945.72,993.058,0.0366000011563301,0.0537010163390515,0.073002456192946,0.0607293816338546,0.1049104170411648,0.2406519882942437,0.291560040577098,0.2830646902600352,0.3104263363653678,0.3118999898433685,0.1369742536247029,0.0732866235260333,-7.281376587574198,-14.5401469028228
SU2P2,2,P2,Fresco,-5.580087332152255,5.10451766380917,"POLYGON ((-5.580207516904948 5.104584347974317, -5.580038160132549 5.104646264531463, -5.5799671474139 5.104450979615206, -5.580136504160689 5.104389063099008, -5.580207516904948 5.104584347974317))",Palétuvier rouge (Rhizophora mangle),2025-01-15,2025-01-27,142.259,73.073,215.332,71.13,28.499,472.64,572.267,0.036580949513893,0.0547328531414043,0.0725950888538643,0.0591995767763264,0.1038865391527768,0.2501755320702842,0.3032898409804684,0.3045954268226978,0.3301116800177006,0.3119139611014464,0.1346622314824581,0.0712883997831578,-7.105186529104733,-14.553698654401598
SU2P3,2,P3,Fresco,-5.580019308007638,5.104330597421325,"POLYGON ((-5.580139492715077 5.1043972816207965, -5.579970135967208 5.104459198138717, -5.579899123314533 5.104263913193035, -5.580068480036792 5.104201996716064, -5.580139492715077 5.1043972816207965))",Palétuvier rouge (Rhizophora mangle),2025-01-15,2025-01-27,164.917,49.819,214.736,82.458,19.429,597.24,699.127,0.0352676562952298,0.0526965284573385,0.0712630825778067,0.0601933105840055,0.1018574112974214,0.2481560545210915,0.3060905151605405,0.3084223555822074,0.3321156704910321,0.3125315835726251,0.1335098246817463,0.0704715497394318,-6.877348077640321,-14.702143767854048
SU2P4,2,P4,Fresco,-5.57994369118029,5.104122650920026,"POLYGON ((-5.580063875837427 5.104189335157654, -5.579894519116828 5.1042512516319665, -5.5798235065374895 5.104055966653582, -5.579992863232481 5.103994050220214, -5.580063875837427 5.104189335157654))",Palétuvier rouge (Rhizophora mangle),2025-01-15,2025-01-27,71.302,35.141,106.443,35.65,13.705,525.096,574.452,0.0348459476277836,0.0521644424911387,0.0703967909731373,0.0601674833718838,0.100532094941701,0.2438315927000666,0.3035783812000945,0.3059574287082698,0.3263057392543635,0.3115331161062459,0.1327986488924236,0.07032424195141,-6.50479240664951,-14.520140947008668
SU2P5,2,P5,Fresco,-5.579874493730206,5.103932357506702,"POLYGON ((-5.579994678341312 5.103999041779242, -5.579825321645665 5.1040609582136565, -5.579754309133435 5.103865673205342, -5.5799236658034745 5.103803756811872, -5.579994678341312 5.103999041779242))",Palétuvier rouge (Rhizophora mangle),2025-01-15,2025-01-27,186.786,59.34,246.126,93.393,23.143,348.688,465.224,0.0337629453696676,0.0497802879421793,0.0655559219936832,0.0575560070259115,0.0954360423354327,0.2223614214489302,0.2741953472649386,0.2513937412330946,0.299064883978032,0.3077830821527845,0.1268381567612012,0.0682026230794725,-6.999489368462055,-15.36626088867462
SU3P1,3,P1,Fresco,-5.579080761446786,5.104079997721702,"POLYGON ((-5.579206018820066 5.104023473103695, -5.579153981178264 5.104196526898573, -5.5789555040486025 5.104136522337281, -5.579007541755077 5.1039634685337125, -5.579206018820066 5.104023473103695))",Palétuvier rouge (Rhizophora mangle),2025-01-16,2025-01-27,89.214,31.972,121.186,44.607,12.469,1189.8,1246.877,0.0342000015079975,0.0500647461104948,0.0661483896359548,0.0567607626508352,0.0964126259783061,0.2365566953764123,0.2869605044692249,0.2966066137966462,0.3143015293246609,0.2922999858856201,0.1280884765214839,0.0661774599009146,-7.978261606322667,-14.62950853575448
SU3P2,3,P2,Fresco,-5.578862556300356,5.104014028825765,"POLYGON ((-5.578987813704326 5.1039575042470995, -5.5789357759914235 5.104130558051536, -5.578737298871487 5.104070553402006, -5.578789336649058 5.10389749958888, -5.578987813704326 5.1039575042470995))",Palétuvier rouge (Rhizophora mangle),2025-01-16,2025-01-27,95.136,31.546,126.682,47.568,12.303,851.632,911.503,0.0344875438044131,0.0514544920017153,0.0665622867391271,0.0563613559798163,0.0945172029657889,0.2285204251817727,0.2813782282805038,0.2779340681888289,0.3033300005530907,0.2905304973660889,0.1273208442507153,0.0657072019337092,-7.191034336702155,-13.939661096731657
SU3P3,3,P3,Fresco,-5.578650761402717,5.103949997813169,"POLYGON ((-5.57877601883647 5.103893473272685, -5.578723981054558 5.104066527086395, -5.578525503944063 5.1040065223512245, -5.578577541790644 5.103833468528829, -5.57877601883647 5.103893473272685))",Palétuvier rouge (Rhizophora mangle),2025-01-16,2025-01-27,73.677,27.101,100.778,36.838,10.57,858.688,906.096,0.0353962723102609,0.0513994070338243,0.0679610172823324,0.0565016096868252,0.0968607622561818,0.2313330518871041,0.2811790663054434,0.2787396552956711,0.3049892339160887,0.2839311865426726,0.1287588156570317,0.066450762717148,-6.651604350037426,-14.216978262862655
SU3P4,3,P4,Fresco,-5.57843896652693,5.103885966712746,"POLYGON ((-5.5785642239904645 5.103829442210446, -5.578512186139547 5.104002496033426, -5.578313709038495 5.103942491212616, -5.578365746954079 5.103769437380951, -5.5785642239904645 5.103829442210446))",Palétuvier rouge (Rhizophora mangle),2025-01-16,2025-01-27,71.042,21.991,93.033,35.52,8.577,711.438,755.535,0.0347854738702645,0.0517288012669195,0.0672244930111274,0.0585565031506121,0.0972334447102873,0.2311215405352414,0.280140790610096,0.2802775372323152,0.3048788811256354,0.2817554091279571,0.1321980574268948,0.0686474679591687,-8.310675576730144,-14.965089921738633
SU3P5,3,P5,Fresco,-5.578220761465951,5.103819997547827,"POLYGON ((-5.578346018960168 5.10376347308487, -5.578293981038156 5.103936526917396, -5.578095503946835 5.103876522008358, -5.57814754193351 5.1037034681671445, -5.578346018960168 5.10376347308487))",Palétuvier rouge (Rhizophora mangle),2025-01-16,2025-01-27,98.209,31.339,129.548,49.103,12.222,784.674,846.0,0.035283418734717,0.0517028765453501,0.0672549914234584,0.0558948389360091,0.0955074437580334,0.2298811327811021,0.2759856155580272,0.2810509309248271,0.3048624409435162,0.2802136184398696,0.1286180173432968,0.0664950950597546,-8.313835783867049,-16.231846606516335
SU4P1,4,P1,Fresco,-5.579873921748132,5.103299412681281,"POLYGON ((-5.579987232093403 5.103377262123203, -5.579812767894868 5.1034227378680255, -5.579760611422999 5.103221563210057, -5.579935075585054 5.103176087504877, -5.579987232093403 5.103377262123203))",Palétuvier rouge (Rhizophora mangle),2025-01-18,2025-02-17,46.652,15.912,62.565,23.328,6.206,2454.76,2484.293,0.0309981387691625,0.0500382404528596,0.0661311333907639,0.0547340949729412,0.0940016930869287,0.2348055837773631,0.2859264731961862,0.2856649727688223,0.3063331617770461,0.2900549087881436,0.1250418775199633,0.0634846006174983,-6.07599956368706,-14.042765626990072
