longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,VV,VH,total_carbon_stock
-6.054259556461559,4.967213941387253,0.0336362556859533,0.054077190896298,0.0370257029856773,0.1030841705076237,0.2237094467244249,0.2458192371561172,0.2554194058636401,0.2701049316563504,0.1231714091212191,0.0566935326793092,-6.913848153491443,-14.469604182655818,9.442
-6.059955466613286,4.968806030914792,0.03904898291359,0.0597351694384874,0.0458986017063765,0.0959558872537592,0.2003891091604354,0.2315855512174509,0.2370449988266169,0.2561725494593887,0.1335966951703116,0.0655600849475901,-8.937280652354426,-16.480512105056135,597.322
-5.578862556300356,5.104014028825765,0.0514544920017153,0.0665622867391271,0.0563613559798163,0.0945172029657889,0.2285204251817727,0.2813782282805038,0.2779340681888289,0.3033300005530907,0.1273208442507153,0.0657072019337092,-7.191034336702155,-13.939661096731657,911.503
-6.057777928605399,4.966936663800794,0.0322240308621304,0.0427814503632247,0.0371892074905147,0.0738574183195779,0.1281618036794622,0.1449663568520525,0.1367087715240996,0.1662005878620566,0.131640474030883,0.065263827468,-7.720455693829393,-15.092071252441084,17.324
-6.055671414663933,4.967307358122224,0.0321710665305279,0.0534848562314123,0.0352379867205059,0.1003235212374358,0.2170478039737885,0.2437692016312717,0.2408275815789066,0.2668464412745687,0.1175408636719341,0.0543080376186951,-7.527359425277401,-13.105116588463035,28.589
-6.100910148094519,4.963724130460439,0.0533919495735633,0.0781434748637474,0.0646399153175495,0.1171094943279937,0.2324800844414759,0.274310506602465,0.2637532190498659,0.2995299967416263,0.1428645747445397,0.0737964420311026,-6.580228099945799,-13.175917536844096,902.628
-6.092902186542934,4.962649371509562,0.5178425751872948,0.4999555491915791,0.4885184083882786,0.5064035623734839,0.5197429038691662,0.5360850707467478,0.5386897371521029,0.5346995033987302,0.4685721780608728,0.4271793036616585,-12.069532642808166,-18.797136635272484,693.986
-6.040175823929201,4.970121911015116,0.0317394580427087,0.0499232848451664,0.0342007616911774,0.0903413185406599,0.1888767990719757,0.2143427607217752,0.2142873837925638,0.2410008436814897,0.1323245558871948,0.0674929742959219,-7.130040589096314,-13.922020405735315,55.754
-6.059289223771483,4.968943716253,0.0441412294567641,0.0697478813829563,0.0493464401591632,0.1143673304278972,0.2299861423923807,0.259537454391435,0.2549873728873366,0.2816602962249417,0.1320088561561148,0.0654361448424347,-7.290476222043206,-13.404765098586596,1457.102
-6.057811453163079,4.967152738000202,0.0319499146231086,0.045460152211276,0.0361966157896214,0.0826490692630435,0.1504824015669613,0.166707612309359,0.1576705602976271,0.189106093924461,0.1274923852403756,0.0644054145579007,-7.856788387974454,-14.785127989417234,4.088
-6.044764645986261,4.9678672688587895,0.0412388553179926,0.0599024573940846,0.0497697874935249,0.0929918224086701,0.1879464840484878,0.2158210589092667,0.2119406786384219,0.2382692333626545,0.1308521184123168,0.068244195483246,-7.247142455633686,-13.695130839328575,2951.414
-6.046221169437512,4.96913554656857,0.0359644915656013,0.0493117797835651,0.0416423733298808,0.0824898315309468,0.1553114374184002,0.1782550881222142,0.1781613565476264,0.1993762679019217,0.1373525429201328,0.0714508475009667,-9.766032384292576,-14.403941220249266,527.388
-6.054709237451898,4.967200492241751,0.0310099654699306,0.0511850078623532,0.0336902903034343,0.0988846654342122,0.2233705314501383,0.2521014527324111,0.2575107346807671,0.2807895275026407,0.1107190798403254,0.0485891817166157,-7.43595726177302,-14.663419752424709,12.534
-6.058252355948585,4.967200802824628,0.0347680206648539,0.0517851943638673,0.0367381555010925,0.0912228450431234,0.1739733556692068,0.1911675129621565,0.1886825714506171,0.2111390849131013,0.1127124335963512,0.0534235197584288,-8.144936715721208,-16.734913200951418,33.941
-6.046148845562416,4.969805294154341,0.0295243037227965,0.0482778066069768,0.0335028690989384,0.093271899229615,0.2183481892830209,0.2468624471863614,0.2495125725299497,0.2747375571526556,0.1345363669820475,0.0645727416288249,-7.232144341517165,-14.791018444711138,974.397
-6.052757000033169,4.970591574394295,0.0305205084099355,0.050025508846393,0.0304162710589372,0.093431524995525,0.2306110145303153,0.2639299951872583,0.2626594970792027,0.2854000000882957,0.1100544904627032,0.0474294909165572,-7.558836877937866,-14.461102742981405,38.92
-6.037895379373994,4.968961308140535,0.0381769458282669,0.0578892563458677,0.0448293146754531,0.0933829101713377,0.1868286800339137,0.2150184394517525,0.2151290212337135,0.2357003356120509,0.1249721623490707,0.0630666243823248,-7.477204409910544,-15.069882998353393,831.07
-6.038332439352973,4.968850546091089,0.0366837289924351,0.0563056207783929,0.0449114535397528,0.0923714703381917,0.1850619148699187,0.2162014738619579,0.2184833450304283,0.2403245118217556,0.129918176482415,0.0669169891767348,-9.8869858203834,-15.694380200448302,3518.462
-6.063815576826733,4.970394426970829,0.0380582137350355,0.0602394165968006,0.0434859021520281,0.0987008051358472,0.238564225170796,0.2815244800705309,0.2849249833852532,0.3097546528599002,0.1241645236309558,0.0563211250296343,-5.810766998588876,-14.16277633649386,132.094
-6.05353648637994,4.970651454471515,0.029355630750163,0.0460025403683312,0.02872337039109,0.0852889062286332,0.2145695117799838,0.2438728244601419,0.2460968714210565,0.2677643580471026,0.1095837403426324,0.0473217622808336,-7.175841427638091,-13.42698186715673,34.485
-6.048819606153845,4.970020136328053,0.0459052544781717,0.0582965258066936,0.061499831613974,0.0977483906293824,0.1778505051666396,0.2062402514330411,0.1818986433289818,0.2355870371779142,0.2182757647487066,0.1306492374104968,-8.84733603055871,-15.25781952790035,67.475
-6.051992586790057,4.967156511928733,0.0347483404551414,0.0515362552347335,0.0397384678841905,0.0916553206710105,0.1866794056968486,0.2095885082255018,0.1971560851310161,0.2353257870800951,0.1264774458966357,0.060945106364311,-8.681674126020134,-15.833433254835109,148.126
-5.5800586975944215,5.100670132342229,0.0514095603518326,0.0741849411436547,0.0594257192588497,0.105796362782392,0.2297757214625475,0.26774636304318,0.2684458572600295,0.2884076138085319,0.1351154810810452,0.0722928927256371,-6.478413826732643,-12.217416906992677,777.908
